ability 能力【W】
implement 实施【R】
imply 暗示【R】
import 进口
impress 留下印象【W】
improve 改善【W】
include 包含【W】
increase 增加【W】
indeed 的确
independence 独立【W】
independent 独立的【W】
indicate 表明【R】
individual 个人的【W】
induce 诱导
industry 工业，行业【R】
infect 感染
influence 影响【W】
inform 通知【W】
initial 最初的【R】
injure 伤害【R】
injury 伤害
inquire 询问
insist 坚持【W】
inspect 检查
inspire 激励【W】
install 安装
instance 例子【W】
instant 立刻的
instead 代替【W】
instinct 本能
institute 学院
instruct 指导
insurance 保险【R】
integrate 整合
intellectual 智力的
intend 打算【W】
intention 意图
interact 互动【R】
interest 兴趣，利益【W】
interfere 干涉【R】
internal 内部的【R】
interpret 解释，口译【R】
interrupt 打断
interval 间隔
interview 面试，采访【W】
introduce 介绍【W】
invent 发明【W】
invest 投资【R】
invite 邀请【W】
involve 包含，使参与【W】
isolate 隔离【R】
issue 问题 v.发布【W】
joint 联合的
journal 期刊
judge 判断 n.法官【W】
junior 初级的
justify 证明合理【R】
keen 热切的
keep 保持【W】
key 钥匙，关键【W】
knowledge 知识【W】
label 标签
lack 缺乏【W】
land 陆地 v.登陆
largely 很大程度上【R】
last 最后的 v.持续【W】
latter 后者的【R】
launch 发起，发射【R】
law 法律【W】
lay 放置，下蛋
lead 领导，导致【W】
league 联盟
leisure 空闲【R】
lend 借出
level 水平【W】
liable 易于…
limit 限制 v.限制【W】
link 联系【W】
liquid 液体
list 清单
literary 文学的
live 生活 adj.活的
load 负载
local 本地的【W】
locate 定位【R】
logic 逻辑
loose 松散的
lose 丢失【W】
loss 损失【W】
loyal 忠诚的
lucky 幸运的
lump 块
luxury 奢侈
main 主要的【W】
maintain 维持，坚持认为【R】
major 主要的 n.专业【W】
majority 大多数【W】
manage 管理，设法【W】
manner 方式，礼貌
manufacture 制造【R】
march 行进
margin 边缘，差额
mark 标记 v.标记【W】
market 市场【W】
marry 结婚
mass 大量【R】
master 主人 v.掌握【W】
match 比赛 v.匹配【W】
material 材料【R】
matter 事情，物质【W】
mature 成熟的
mean 意思是 adj.吝啬的【W】
means 方式【W】
measure 测量 n.措施【W】
media 媒体【R】
medical 医学的【R】
meet 遇见；满足【W】
melt 融化
mention 提到【W】
merchant 商人
merely 仅仅【R】
merge 合并
merit 优点
method 方法【W】
mild 温和的
military 军事的
mind 头脑 v.介意【W】
minimum 最小值【R】
minor 较小的
minority 少数
mirror 镜子
miss 错过；想念【W】
mission 任务【R】
mix 混合【W】
mobile 移动的【R】
mode 模式
model 模型【W】
modify 修改【R】
moment 时刻【W】
monitor 监控器 v.监控【R】
moral 道德的【W】
moreover 此外【W】
motion 运动
motivate 激励【W】
motive 动机
motor 发动机
mountain 山
multiple 多个的【R】
mutual 相互的
narrow 狭窄的
nation 国家【W】
national 国家的【W】
native 本土的
natural 自然的【W】
nature 自然，本质【W】
nearby 附近的
necessary 必要的【W】
neglect 忽视【R】
negotiate 谈判
neither 两者都不
nerve 神经
neutral 中立的
nevertheless 然而【R】
normal 正常的【W】
note 笔记 v.注意【W】
notice 通知 v.注意到【W】
novel 小说
nuclear 核的
numerous 许多的【R】
obey 遵守
object 物体 v.反对【W】
oblige 迫使
observe 观察；遵守【R】
obtain 获得【W】
obvious 明显的【W】
occasion 场合【R】
occupy 占据【R】
occur 发生【W】
offer 提供【W】
office 办公室
offspring 后代
omit 省略
operate 操作【W】
opinion 观点【W】
opponent 对手
opportunity 机会【W】
oppose 反对【W】
opposite 相反的【W】
optimistic 乐观的【W】
option 选择【W】
organ 器官
organise/organize 组织【W】
origin 起源【R】
original 原始的【R】
otherwise 否则【W】
outcome 结果【R】
outer 外部的
outline 大纲【R】
output 输出
overall 总体的【R】
owe 欠，归功于【W】
own 自己的 v.拥有【W】
pace 步伐【R】
pain 痛苦
panic 恐慌
paragraph 段落【W】
parallel 平行的
participate 参与【W】
particular 特定的【W】
partly 部分地【R】
partner 伙伴
pass 通过【W】
passage 段落【R】
passive 被动的
paste 浆糊
patience 耐心
pay 支付【W】
peace 和平【W】
peak 顶峰【R】
perform 执行，表演【W】
period 时期【W】
permit 允许 n.许可证【W】
persist 坚持【R】
personal 个人的【W】
personnel 人员
persuade 说服【W】
phenomenon 现象【R】
philosophy 哲学
physical 身体的，物理的【R】
pick 挑选【W】
pile 堆
pilot 飞行员
pioneer 先驱
pipe 管道
pitch 音调
place 地方 v.放置【W】
plain 简单的
plan 计划【W】
planet 行星
plastic 塑料的
platform 平台【R】
pledge 誓言
plentiful 充足的
point 点 v.指向【W】
policy 政策【W】
polish 擦亮
pollute 污染【W】
popular 流行的【W】
population 人口【W】
portion 部分
position 位置【W】
positive 积极的【W】
possess 拥有【R】
possible 可能的【W】
postpone 推迟【R】
potential 潜在的【R】
poverty 贫穷【R】
power 力量，权力【W】
practical 实际的【W】
practice 练习【W】
praise 赞扬【W】
predict 预测【W】
prefer 更喜欢【W】
prepare 准备【W】
presence 在场
present 当前的 n.礼物 v.呈现【W】
preserve 保护，保存【R】
press 按压
pretend 假装【W】
prevent 阻止【W】
previous 先前的【R】
pride 骄傲
primary 主要的【R】
principle 原则【W】
priority 优先
private 私人的【W】
prize 奖品
problem 问题【W】
procedure 流程【R】
proceed 继续进行【R】
produce 生产【W】
product 产品【W】
profession 职业
profit 利润【R】
program 程序，项目【W】
project 项目【R】
promise 承诺【W】
promote 促进，提升【W】
pronounce 发音
proof 证据
proper 合适的【W】
protect 保护【W】
proud 骄傲的
prove 证明【W】
provide 提供【W】
public 公共的【W】
publish 出版【R】
pull 拉
punish 惩罚
purchase 购买【R】
pure 纯净的
purpose 目的【W】
pursue 追求【R】
qualify （使）合格【W】
quality 质量【W】
quantity 数量
quit 放弃，退出【W】
quote 引用【R】
race 种族；赛跑
radical 根本的【R】
raise 举起，提高【W】
range 范围 v.变化【R】
rapid 快速的【W】
rare 稀少的【R】
rate 比率，速度【R】
reach 到达【W】
react 反应【R】
realise/realize 意识到【W】
reality 现实【W】
reason 理由 v.推理【W】
recall 回忆【R】
receive 收到【W】
recognize 认出【W】
recommend 推荐【W】
recover 恢复【W】
reduce 减少【W】
refer 参考，提及【W】
reflect 反映，反思【R】
reform 改革【R】
refresh 使恢复
refuse 拒绝【W】
regard 认为 n.尊重【W】
region 地区【R】
register 注册【W】
regret 后悔【W】
regular 常规的【W】
regulate 管理【R】
relate 联系【W】
relation 关系【W】
relative 相对的【R】
relax 放松【W】
release 释放【R】
relevant 相关的【R】
reliable 可靠的【W】
relief 宽慰，减轻
rely 依靠【W】
remove 移除【R】
render 使得
renew 更新
rent 租金 v.租赁
repeat 重复【W】
replace 替换【W】
reply 回复【W】
report 报告【W】
represent 代表【W】
reproduce 复制
reputation 名声【R】
require 要求【W】
rescue 营救
resemble 像
reserve 保留【R】
resident 居民
resist 抵抗【R】
resolve 解决【W】
resort 诉诸
resource 资源【W】
respect 尊重【W】
respond 回应【W】
response 回应【W】
responsibility 责任【W】
restrict 限制【R】
result 结果 v.导致【W】
resume 恢复
retain 保留
retire 退休【R】
review 复习，回顾【W】
reward 奖励【W】
rid 摆脱
risk 风险 v.冒险【W】
rob 抢劫
role 角色，作用【W】
root 根
rotate 旋转
rough 粗糙的
route 路线
routine 常规【R】
rub 摩擦
ruin 毁坏【R】
rule 规则【W】
run 跑，运营【W】
sacrifice 牺牲
safe 安全的【W】
salary 薪水【R】
satisfy 使满意【W】
scale 规模【R】
scan 扫描【R】
scarce 稀缺的
scare 惊吓
scatter 分散
scene 场景【R】
schedule 时间表【W】
scheme 方案
scholar 学者
science 科学【W】
scope 范围【R】
score 分数【W】
screen 屏幕
secure 安全的 v.获得【R】
seek 寻找【R】
select 选择【W】
senior 高级的
sense 感觉，意义【W】
sensitive 敏感的【R】
separate 分开 adj.分开的【W】
sequence 顺序
series 系列【R】
service 服务【W】
settle 解决，定居【W】
severe 严重的【R】
sex 性别
shade 阴影
shadow 影子
share 分享【W】
sharp 锋利的，急剧的【R】
shelter 庇护所
shift 转移【R】
shock 震惊【R】
shortage 短缺【R】
sight 视力，景象
sign 标志 v.签字【W】
signal 信号【R】
significant 重要的【W】
similar 相似的【W】
simple 简单的【W】
simplify 简化【W】
single 单一的【W】
sink 下沉
site 地点【R】
situation 情况【W】
sketch 草图
skill 技能【W】
slight 轻微的
slip 滑倒
social 社会的【W】
solar 太阳的
solid 固体的，可靠的
solve 解决【W】
somehow 不知怎么
sort 种类 v.分类【W】
source 来源【R】
space 空间【W】
spare 多余的 v.抽出【R】
special 特殊的【W】
specific 具体的【W】
specify 明确说明
speed 速度 v.加速【R】
spend 花费【W】
spin 旋转
spite 恶意
split 分裂
spoil 破坏
sponsor 赞助人
spot 地点，斑点【R】
spread 传播【W】
spring 春天；泉水
stable 稳定的【W】
stage 阶段【W】
stain 污点
standard 标准【W】
state 状态，国家 v.陈述【W】
statement 陈述【R】
static 静态的
status 地位【R】
steady 稳定的
steep 陡峭的
stem 茎
stick 粘贴，坚持【W】
stimulate 刺激【R】
stock 库存
store 储存 n.商店【W】
strange 奇怪的【W】
stress 压力，强调【W】
stretch 伸展
strike 击打
string 绳子
strip 剥离
stroke 中风
structure 结构【W】
struggle 奋斗【W】
study 学习【W】
stuff 东西
style 风格【W】
subject 主题，科目【W】
submit 提交【W】
subsequent 随后的【R】
substitute 替代【R】
succeed 成功【W】
success 成功【W】
sufficient 足够的【W】
suggest 建议【W】
suit 适合【W】
sum 总和【W】
summarize 总结【W】
superior 更好的
supplement 补充
supply 供应【W】
support 支持【W】
suppose 假定【W】
surface 表面【R】
surprise 惊讶【W】
surround 包围【R】
survey 调查【R】
survive 生存【W】
suspect 怀疑【R】
suspend 暂停
sustain 维持
swift 迅速的
switch 切换【R】
symbol 象征【R】
system 系统【W】
target 目标【W】
task 任务【W】
taste 品尝 n.味道
tax 税收【R】
technique 技术【W】
technology 科技【W】
temporary 临时的【R】
tend 倾向于【W】
tendency 趋势【R】
term 术语，学期【W】
terminal 终端的
territory 领土
theoretical 理论的
therefore 因此【W】
threat 威胁【W】
threaten 威胁【W】
thrive 繁荣
throw 扔
thus 因此【W】
ticket 票
tide 潮汐
timber 木材
tiny 微小的
tip 小费；提示【R】
tire 疲劳
topic 话题【W】
total 总的【W】
touch 触摸【W】
trace 追踪
track 轨道【R】
trade 贸易【R】
tradition 传统【W】
train 训练【W】
transfer 转移【R】
transform 转变【R】
translate 翻译【W】
transport 运输【R】
trap 陷阱
treat 对待，治疗【W】
trend 趋势【R】
trial 试验
tremble 颤抖
tremendous 巨大的
trick 诡计
trouble 麻烦【W】
true 真实的【W】
trust 信任【W】
turn 转动【W】
type 类型 v.打字【W】
ultimate 最终的【R】
unaware 未意识到
undergo 经历【R】
underline 强调
undertake 承担
uniform 统一的
union 联合，工会
unique 独特的【W】
unit 单元【W】
universe 宇宙
universal 普遍的
unlike 不像
unload 卸货
unusual 不寻常的【R】
update 更新【R】
upper 上面的
urban 城市的【R】
urge 催促【W】
urgent 紧急的【R】
use 使用【W】
useful 有用的【W】
utilize 利用【R】
vacation 假期【W】
vague 模糊的
valid 有效的【R】
value 价值 v.重视【W】
vary 变化【W】
vast 巨大的【R】
vehicle 交通工具【R】
venture 冒险
version 版本【R】
vertical 垂直的
victim 受害者【R】
victory 胜利【W】
view 观点，景色【W】
violate 违反【R】
violence 暴力
virtual 虚拟的【R】
virtue 美德
visible 可见的【R】
visual 视觉的
vital 至关重要的【W】
volunteer 志愿者 v.自愿【W】
vote 投票【R】
wage 工资【R】
wait 等待【W】
wake 唤醒
want 想要【W】
warn 警告【W】
waste 浪费【W】
wealth 财富【W】
weapon 武器
wear 穿戴
weigh 称重
welfare 福利【R】
whisper 低语
whole 全部的【W】
wide 宽的
willing 愿意的【W】
win 赢【W】
wisdom 智慧
wise 明智的【W】
withdraw 撤回【R】
within 在…之内【W】
witness 目击者 v.见证【R】
wonder 想知道 n.奇迹【W】
work 工作【W】
world 世界【W】
worry 担心【W】
worth 值得【W】
worthy 值得的
wrap 包裹
wreck 毁坏
yield 产生，屈服【R】
zone 区域【R】
account for 解释，占比
be aware of 意识到
be based on 基于
be responsible for 对…负责
contribute to 促成，有助于
deal with 处理
depend on 依靠
due to 由于
face to face 面对面
focus on 集中于
give rise to 导致
in addition 此外
in conclusion 总之
in contrast 相比之下
in general 总的来说
in order to 为了
in terms of 在…方面
in view of 鉴于
lead to 导致
make full use of 充分利用
on the contrary 相反
on the other hand 另一方面
pay attention to 注意
play an important role in 在…起重要作用
result from 由…引起
result in 导致
take into account 考虑
take measures 采取措施
with regard to 关于
with the development of 随着…的发展
